QuestionID,カテゴリ番号,属性ペア,うわさの内容,interest_データ数,interest_平均値,interest_SD,AOI_データ数,AOI_平均値,AOI_SD,privacy_データ数,privacy_平均値,privacy_SD,polarity_データ数,polarity_平均値,polarity_SD
25.0,37,M4-F4,Aさんは週末はいつも海にサーフィンしに行く,12,4.916666666666667,1.1645001528813153,12,4.25,1.764549903980152,12,3.3333333333333335,1.3706888336846839,12,5.833333333333333,0.5773502691896258
25.0,38,M1-F1,Aさんはロックバンドの音楽が心地よく感じる,12,4.833333333333333,0.5773502691896256,12,3.0833333333333335,1.1645001528813148,12,3.9166666666666665,1.8319554050414562,12,5.583333333333333,1.5050420310248867
25.0,38,M2-F2,Aさんはロックバンドの音楽が心地よく感じる,12,3.4166666666666665,1.378954368902449,12,2.0833333333333335,0.9962049198956219,12,2.75,1.3568010505999362,12,5.916666666666667,0.6685579234215216
25.0,38,M3-F3,Aさんはロックバンドの音楽が心地よく感じる,12,3.9166666666666665,1.6213537179739277,12,2.4166666666666665,0.6685579234215215,12,2.3333333333333335,1.4354811251305468,12,6.083333333333333,0.7929614610987591
25.0,38,M4-F4,Aさんはロックバンドの音楽が心地よく感じる,12,4.416666666666667,1.1645001528813148,12,2.5,0.9045340337332909,12,2.5833333333333335,0.7929614610987591,12,5.75,0.8660254037844386
25.0,39,M1-F1,Aさんは卒業研究が控えている,12,3.5833333333333335,1.6213537179739277,12,3.8333333333333335,1.4668044012461754,12,2.75,1.864744681524183,12,3.6666666666666665,0.4923659639173309
25.0,39,M2-F2,Aさんは卒業研究が控えている,12,3.5,1.381698559415515,12,2.75,1.2154310870109943,12,3.6666666666666665,1.8257418583505538,12,3.4166666666666665,0.7929614610987591
25.0,39,M3-F3,Aさんは卒業研究が控えている,12,4.083333333333333,1.2401124093721456,12,3.6666666666666665,1.8257418583505536,12,3.25,2.0056737702645644,12,3.5833333333333335,0.9962049198956219
25.0,39,M4-F4,Aさんは卒業研究が控えている,12,4.166666666666667,1.1146408580454257,12,3.75,1.4222261679238197,12,3.3333333333333335,1.8257418583505536,12,3.6666666666666665,0.6513389472789296
25.0,40,M1-F1,Aさんは最近、アウトドア活動にハマっている,12,5.083333333333333,1.4433756729740643,12,3.3333333333333335,0.8876253645985945,12,3.5833333333333335,2.0207259421636903,12,5.666666666666667,1.0730867399773196
25.0,40,M2-F2,Aさんは最近、アウトドア活動にハマっている,12,4.416666666666667,1.7298624923456323,12,2.5833333333333335,1.164500152881315,12,2.4166666666666665,1.5050420310248864,12,6.0,0.7385489458759964
25.0,40,M3-F3,Aさんは最近、アウトドア活動にハマっている,12,4.75,1.2880570286640687,12,2.8333333333333335,1.1146408580454255,12,2.1666666666666665,1.1146408580454257,12,6.166666666666667,0.5773502691896257
25.0,40,M4-F4,Aさんは最近、アウトドア活動にハマっている,12,4.833333333333333,1.2673044646258478,12,2.5833333333333335,0.996204919895622,12,2.4166666666666665,1.164500152881315,12,6.166666666666667,0.5773502691896256
25.0,41,M1-F1,Aさんはクラシック音楽のコンサートに通っている,12,5.25,1.2880570286640687,12,4.083333333333333,1.5642792899510294,12,4.166666666666667,1.9462473604038073,12,5.5,0.9045340337332909
25.0,41,M2-F2,Aさんはクラシック音楽のコンサートに通っている,12,3.6666666666666665,1.497472618255253,12,3.9166666666666665,1.4433756729740643,12,3.3333333333333335,1.8748737331221843,12,5.333333333333333,0.6513389472789296
25.0,41,M3-F3,Aさんはクラシック音楽のコンサートに通っている,12,4.0,1.5374122295716148,12,4.083333333333333,1.378954368902449,12,2.9166666666666665,1.6213537179739277,12,5.583333333333333,0.7929614610987591
25.0,41,M4-F4,Aさんはクラシック音楽のコンサートに通っている,12,4.666666666666667,1.3706888336846839,11,4.636363636363637,1.2862913567871994,12,3.1666666666666665,1.4668044012461756,12,5.916666666666667,0.7929614610987591
25.0,42,M1-F1,Aさんは新しいアパートに引っ越した,12,5.166666666666667,1.4668044012461756,12,3.75,1.815338686155987,12,4.166666666666667,1.696699112626596,12,4.833333333333333,0.9374368665610923
25.0,42,M2-F2,Aさんは新しいアパートに引っ越した,12,3.25,1.6025547785276542,12,2.25,0.9653072991634227,12,4.75,2.0943647333651407,12,5.0,0.7385489458759964
25.0,42,M3-F3,Aさんは新しいアパートに引っ越した,12,4.5,1.7837651700316894,12,2.75,1.4222261679238197,12,3.8333333333333335,1.8989630344113089,12,5.083333333333333,0.6685579234215215
25.0,42,M4-F4,Aさんは新しいアパートに引っ越した,12,4.083333333333333,1.1645001528813153,12,3.0,0.8528028654224418,12,4.166666666666667,1.5275252316519465,12,4.916666666666667,0.7929614610987591
25.0,44,M1-F1,Aさんはギターを始めた,12,4.916666666666667,1.4433756729740645,12,4.083333333333333,1.2401124093721456,12,4.0,1.7580981459830651,12,5.333333333333333,0.8876253645985945
25.0,44,M2-F2,Aさんはギターを始めた,12,3.9166666666666665,1.5642792899510294,12,2.75,1.0552897060221726,12,4.0,2.215646837627989,12,5.833333333333333,0.5773502691896257
25.0,44,M3-F3,Aさんはギターを始めた,12,4.0,1.7056057308448835,12,3.4166666666666665,1.4433756729740645,12,2.4166666666666665,1.0836246694508316,12,5.5,0.674199862463242
25.0,44,M4-F4,Aさんはギターを始めた,12,4.916666666666667,0.996204919895622,12,3.6666666666666665,1.1547005383792517,12,3.0,1.2792042981336627,12,5.833333333333333,0.5773502691896258
25.0,45,M1-F1,Aさんはスポーツジムで全ての器具を使い切った,12,4.333333333333333,1.1547005383792515,12,5.25,1.0552897060221726,12,3.4166666666666665,1.6764862244009227,12,5.25,0.7537783614444091
25.0,45,M2-F2,Aさんはスポーツジムで全ての器具を使い切った,12,3.75,1.9128750375000738,12,4.5,1.6236882817719773,12,3.4166666666666665,2.0207259421636903,12,5.0,0.9534625892455924
25.0,45,M3-F3,Aさんはスポーツジムで全ての器具を使い切った,12,4.416666666666667,1.880924981991251,12,4.583333333333333,1.6213537179739277,12,3.4166666666666665,1.8809249819912512,12,5.166666666666667,1.0298573010888745
25.0,45,M4-F4,Aさんはスポーツジムで全ての器具を使い切った,12,4.083333333333333,1.5050420310248864,12,4.333333333333333,1.3706888336846839,12,3.3333333333333335,1.0730867399773198,12,5.083333333333333,0.996204919895622
25.0,46,M1-F1,Aさんは最近、絵を描くのに没頭している,12,5.0,1.2060453783110545,12,4.166666666666667,1.4034589305344742,12,4.25,1.864744681524183,12,5.75,0.9653072991634227
25.0,46,M2-F2,Aさんは最近、絵を描くのに没頭している,12,3.9166666666666665,1.8319554050414564,12,3.5,1.7320508075688772,12,3.5,1.7320508075688772,12,5.416666666666667,0.90033663737852
25.0,46,M3-F3,Aさんは最近、絵を描くのに没頭している,12,4.333333333333333,1.8257418583505536,12,3.4166666666666665,1.378954368902449,12,3.4166666666666665,1.7816403745544227,12,5.583333333333333,1.0836246694508316
25.0,46,M4-F4,Aさんは最近、絵を描くのに没頭している,12,4.833333333333333,1.1934162828797104,12,3.6666666666666665,1.2309149097933272,12,3.25,1.2880570286640687,12,5.583333333333333,0.5149286505444373
26.0,1,M1-F1,Aさんはテストを頑張った,12,3.8333333333333335,1.5275252316519465,12,2.3333333333333335,0.8876253645985948,12,3.0833333333333335,1.8809249819912508,12,6.333333333333333,0.6513389472789296
26.0,1,M2-F2,Aさんはテストを頑張った,12,3.5,1.1677484162422844,12,2.1666666666666665,1.2673044646258476,12,3.1666666666666665,1.6966991126265962,12,6.5,0.674199862463242
